,Name,Main rating,Ranking on list,Price range,Price class,Number of reviews,Location,Distance from Kgs. Nytorv,Service,Type of food,Address,Good price,Food,Atmosphere,New Price class,Price Class Numeric,Reverse ranking on list,Full ranking
1925,Café B,3.0,1925.0,"------16,,,",--$$-$$$---------,22,"55.673428,12.596042",1040.0,,Europæisk,"Prinsessegade Christianshavn, København Danmark",,,,$$-$$$,2,-1925.0,59
1909,Amarone,3.0,1921.0,"------16,,",--$$-$$$---------,93,"55.68219,12.582536",267.0,3.5,Europæisk,"Gothersgade 40, København Danmark",3.5,4.0,4.0,$$-$$$,2,-1921.0,60
1905,King Of Kebab Pizza & Grill,3.0,1911.0,,--$$$$$$,11,"55.68817,12.56027",1754.0,,,"Noerrebrogade 20, København 2200 Danmark",,,,$$$$$$,99,-1911.0,61
1917,YamYam,3.0,1910.0,,--$$-$$$,10,"55.67353,12.56497",1402.0,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a></div>","Banegaardspladsen 7, København 1570 Danmark",,,,$$-$$$,2,-1910.0,62
1911,Rendez,3.0,1905.0,"------16,",--$$$$$$,10,"55.67999,12.57512",569.0,4.0,,"Skindergade 19, København Danmark",3.0,3.0,2.5,$$$$$$,99,-1905.0,63
1916,Café Le Rouge,3.0,1903.0,------16,---,6,"55.69942,12.54348",3344.0,,International,"Bragesgade 5, København 2200 Danmark",,,,$$$$$$,99,-1903.0,64
1889,Mediterranean Kitchen,3.0,1894.0,"------16,,",--$$-$$$---------,29,"55.63103,12.57589",5468.0,3.5,Europæisk,"Arne Jacobsens Alle 12, København 2300 Danmark",3.0,3.0,,$$-$$$,2,-1894.0,65
1886,Cucinetta,3.0,1888.0,"------16,",--$$-$$$---------,29,"55.670475,12.560553",1820.0,2.0,Europæisk,"Halmtorvet 18, København Danmark",2.0,2.0,,$$-$$$,2,-1888.0,66
1885,Bulko,3.0,1883.0,"------16,",--$------,10,"55.6795,12.59776",852.0,,Asiatisk,"Trangravsvej 14 Hal 7 & 8, København 1436 Danmark",,,,$,1,-1883.0,67
1875,Mät Copenhagen,3.0,1871.0,------16174.-248.,--$$-$$$---,162,"55.677723,12.572969",747.0,2.5,Bar,"Nytorv 5, København 1450 Danmark",3.0,3.0,,$$-$$$,2,-1871.0,68
1874,Sunset Boulevard,3.0,1868.0,,--$$$$$$,9,"55.680866,12.577",461.0,,,"Koebmagergade 43, København 1150 Danmark",,,,$$$$$$,99,-1868.0,69
1849,cafe Emil,3.0,1859.0,------16154.-208.,--$$-$$$---,34,"55.67502,12.580593",596.0,3.5,Café,København 2500 Danmark,3.5,3.5,3.0,$$-$$$,2,-1859.0,70
1834,Wabiwabi Sushi & More,3.0,1842.0,"------16,,,",--$$-$$$---------,52,"55.657536,12.566867",2722.0,2.0,Asiatisk,"Islands Brygge 81, København 2300 Danmark",2.5,3.0,,$$-$$$,2,-1842.0,71
1850,Guldkroen 11,3.0,1840.0,"------16,,",--$$-$$$---,57,"55.692734,12.567799",1751.0,3.0,Dansk,"Fredensgade 11A, København 2200 Danmark",2.5,3.0,,$$-$$$,2,-1840.0,72
1786,Vapiano Tivoli,3.0,1838.0,"------16,,",--$$-$$$---------,217,"55.67435,12.565299",1339.0,3.0,Europæisk,"Vesterbrogade 3 Tivoli Food Hall, København 1630 Danmark",3.0,3.5,,$$-$$$,2,-1838.0,73
1839,Sultan Palace,3.0,1835.0,------16,--$---,77,"55.67917,12.57593",526.0,3.0,Tyrkisk,"Valkendorfsgrade 34, København Danmark",3.5,3.0,3.0,$,1,-1835.0,74
1884,Krôyers,3.0,1833.0,------16,--$$-$$$---,47,"55.676792,12.595664",802.0,4.0,Café,"Strandgade 87A, København Danmark",3.5,4.0,,$$-$$$,2,-1833.0,75
1815,La focaccia,3.0,1832.0,------16,--$$-$$$---,9,"55.647,12.54997",4249.0,,Italiensk,"Sluseholmen 44, København 2450 Danmark",,,,$$-$$$,2,-1832.0,76
1829,Cock's & Cows Prags Blvd,3.0,1811.0,------1647.-181.,--$$-$$$------,24,"55.664635,12.600342",1984.0,3.5,Amerikansk,"Amagerbrogade 37, København 2300 Danmark",3.5,3.5,,$$-$$$,2,-1811.0,77
1772,Taco Diner,3.0,1800.0,------1660.-114.,--$---,49,"55.68458,12.567803",1148.0,3.5,Mexicansk,"Nørre Farimagsgade 57, København 1364 Danmark",3.0,3.0,4.0,$,1,-1800.0,78
1782,Rice and Rice,3.0,1785.0,------16,--$$-$$$---,14,"55.70114,12.58015",2367.0,3.0,Thai,"Nordre Frihavnsgade 23, København 2100 Danmark",2.5,3.0,,$$-$$$,2,-1785.0,79
1784,Hanoi,3.0,1782.0,"------16,",--$$-$$$---------,76,"55.69665,12.58087",1866.0,3.0,Asiatisk,"Classensgade 5, København Danmark",3.0,3.5,3.0,$$-$$$,2,-1782.0,80
1741,Café Nöah,3.0,1750.0,"------16,,,,",--$$-$$$------,21,"55.65498,12.564678",3037.0,4.0,Centraleuropæisk,"Viggo Kampmanns Plads 5, København 2300 Danmark",3.5,3.5,,$$-$$$,2,-1750.0,81
1716,Tapas G.,3.0,1743.0,------1680.-201.,--$$-$$$------,95,"55.680054,12.575501",545.0,3.0,Middelhavsområdet,"Kejsergade 2, København 1155 Danmark",3.0,3.5,4.0,$$-$$$,2,-1743.0,82
1735,Kyoto Restaurant,3.0,1733.0,"------16,,",--$$$$---------,91,"55.667294,12.586422",1417.0,3.0,Asiatisk,"Amager Boulevard 70, København Danmark",2.5,3.0,2.0,$$$$,3,-1733.0,83
1679,Nibon Ya,3.0,1653.0,"------16,,",--$---------,74,"55.673317,12.560267",1673.0,3.0,Asiatisk,"Vesterbrogade 15, København 1620 Danmark",3.0,3.5,,$,1,-1653.0,84
1637,Cock's & Cows Kødbyen,3.0,1632.0,------16402.-1.207.,--$$-$$$---,36,"55.66694,12.558911",2148.0,3.0,Amerikansk,"Kødboderne 9, København 1714 Danmark",2.5,3.5,,$$-$$$,2,-1632.0,85
1631,LETZ SUSHI TIVOLI DET JAPANSKE TÅRN,3.0,1631.0,------1674.-302.,--$$-$$$---------,52,"55.673885,12.568485",1195.0,3.0,Asiatisk,"Tivoli, The Japanese Tower, København 1630 Danmark",3.0,3.5,,$$-$$$,2,-1631.0,86
1607,L'Olivo,3.0,1623.0,"------16,",--$------,17,"55.67982,12.591424",454.0,3.0,Italiensk,"Nyhavn 47, København 1051 Danmark",2.5,3.0,3.0,$,1,-1623.0,87
1592,Indien Maharaja Restaurant,3.0,1606.0,------16664.-1.106.,--$$-$$$------,58,"55.666847,12.59818",1703.0,3.0,Asiatisk,"Amagerbrogade 15, København 2300 Danmark",2.5,3.0,3.0,$$-$$$,2,-1606.0,88
1568,Gaarden & Gaden,3.0,1591.0,------1674.-295.,--$$-$$$---,18,"55.69229,12.5522",2428.0,3.0,Bar,"Nørrebrogade 88, København 2200 Danmark",3.0,3.5,,$$-$$$,2,-1591.0,89
1535,Café Livingstone,3.0,1550.0,------16101.-302.,--$$-$$$------,85,"55.696068,12.574765",1884.0,3.0,Café,"Sortedam Dossering 81, København 2100 Danmark",3.0,3.5,,$$-$$$,2,-1550.0,90
