,Name,Main rating,Ranking on list,Price range,Price class,Number of reviews,Location,Distance from Kgs. Nytorv,Service,Type of food,Address,Good price,Food,Atmosphere,New Price class,Price Class Numeric,Reverse ranking on list,Full ranking
1541,Sikhui,4.5,113.0,,--$$$$$$,4,"55.68303,12.5502",2158.0,,,"HC Ørstedsvej 53, Frederiksberg, København 2000 Danmark",,,,$$$$$$,99,-113.0,1586
117,Flottenheimer,4.5,110.0,"------16,,,",--$$-$$$---,378,"55.680115,12.575208",563.0,4.0,Café,"Skindergade 20, København 1159 Danmark",4.0,4.0,4.5,$$-$$$,2,-110.0,1587
104,Villa Vino,4.5,109.0,------16,--$$-$$$,160,"55.676495,12.571272",898.0,4.5,Vinstue,"Mikkel Bryggers Gade 11, København 1460 Danmark",4.5,4.5,4.5,$$-$$$,2,-109.0,1588
98,Sidecar,4.5,107.0,------1674.-295.,--$$-$$$------,132,"55.687107,12.549084",2339.0,4.5,Asiatisk,"Skyttegade 5, København 2200 Danmark",4.5,4.5,,$$-$$$,2,-107.0,1589
1453,Joe & The Juice,4.5,106.0,,--$$$$$$,4,"55.68141,12.531315",3319.0,,,"Falkoner Alle 21, Frederiksberg, København 3520 Danmark",,,,$$$$$$,99,-106.0,1590
118,Restaurant Tio Marios,4.5,104.0,------1627.-262.,--$$-$$$---------,212,"55.698338,12.593778",2128.0,4.5,Europæisk,"Amerika Plads 4 Østerbro, København 2100 Danmark",4.5,4.5,4.0,$$-$$$,2,-104.0,1591
1396,Hiko Pizza og Sandwich,4.5,102.0,,--$$$$$$,4,"55.68156,12.52283",3851.0,,,"Nordre Fasanvej 26, Frederiksberg, København 2000 Danmark",,,,$$$$$$,99,-102.0,1592
107,Mikkeller Bar,4.5,102.0,"------16,,",--$$-$$$,859,"55.671955,12.557751",1882.0,4.5,Dansk,"Viktoriagade 8 B-C 1655, København 1655 Danmark",4.0,4.0,4.5,$$-$$$,2,-102.0,1593
91,Restaurant Kronborg,4.5,101.0,------16148.-436.,--$$-$$$---,478,"55.677628,12.574495",662.0,4.5,Dansk,"Brolæggerstræde 12, København 1211 Danmark",4.0,4.5,4.5,$$-$$$,2,-101.0,1594
106,Restaurant Karla,4.5,100.0,------1667.-308.,--$$-$$$---,946,"55.673824,12.573938",939.0,4.5,Dansk,"Dantes Plads 1, København 1556 Danmark",4.0,4.5,4.5,$$-$$$,2,-100.0,1595
102,El Meson,4.5,98.0,------1680.-382.,--$$-$$$---------,267,"55.68259,12.575669",608.0,4.5,Europæisk,"Hauser Plads 12, København 1127 Danmark",4.0,4.5,,$$-$$$,2,-98.0,1596
1360,KaffeVærket,4.5,98.0,,--$$$$$$,7,"55.68182,12.54977",2168.0,,,"HC Ørsteds Vej 50A, Frederiksberg, København 1879 Danmark",,,,$$$$$$,99,-98.0,1597
119,Aamanns Deli & Take Away,4.5,97.0,------1667.-127.,--$$-$$$---,607,"55.690056,12.574978",1261.0,4.5,Dansk,"Øster Farimagsgade 10, København 2100 Danmark",4.0,4.5,4.0,$$-$$$,2,-97.0,1598
94,Slurp Ramen Joint,4.5,95.0,------16127.-134.,--$$-$$$---------,145,"55.685116,12.567047",1217.0,4.5,Asiatisk,"Nansensgade 90, København 1366 Danmark",4.5,4.5,,$$-$$$,2,-95.0,1599
116,Le Pave,4.5,94.0,"------16,",--$$-$$$------,264,"55.679844,12.575675",534.0,4.5,Europæisk,"Graabroedretorv 14, København 1154 Danmark",4.5,4.5,4.0,$$-$$$,2,-94.0,1600
90,Sticks'n'Sushi,4.5,93.0,------16248.-550.,--$$-$$$---------,434,"55.684326,12.566069",1235.0,4.0,Asiatisk,"Nansensgade 59, København 1366 Danmark",4.0,4.5,4.0,$$-$$$,2,-93.0,1601
1287,Fusion Monkey,4.5,92.0,------16,--$$$$$$,5,"55.68658,12.54028",2849.0,,,"Falkoner Alle 102, Frederiksberg, København 2000 Danmark",,,,$$$$$$,99,-92.0,1602
100,Amass,4.5,92.0,------164.660.-6.672.,--$$$$,599,"55.690468,12.61124",2058.0,4.5,Dansk,"Refshalevej 153, København 1432 Danmark",4.5,4.5,4.5,$$$$,3,-92.0,1603
79,Damindra,4.5,91.0,------16148.-764.,--$$$$---------,481,"55.6788,12.590855",438.0,4.0,Asiatisk,"Holbergsgade 26 Copenhagen C, København 1054 Danmark",4.0,4.5,4.0,$$$$,3,-91.0,1604
68,Sticks'n'Sushi,4.5,90.0,------161.676.-3.688.,--$$-$$$---------,264,"55.683357,12.584706",377.0,4.5,Fisk og skaldyr,"Borgergade 13, København 1300 Danmark",4.0,4.5,,$$-$$$,2,-90.0,1605
80,Sticks'n'Sushi,4.5,89.0,------16248.-550.,--$$-$$$---------,310,"55.669716,12.554844",2165.0,4.5,Asiatisk,"Istedgade 62, København 1650 Danmark",4.0,4.5,4.0,$$-$$$,2,-89.0,1606
66,Fleisch,4.5,88.0,"------16,",--$$-$$$---,431,"55.66907,12.558636",2010.0,4.5,Dansk,"Slagterboderne 7 Kødbyen, København 1716 Danmark",4.0,4.5,,$$-$$$,2,-88.0,1607
1257,Risteriet Coffee Frederiksberg,4.5,88.0,------1620.-101.,--$,7,"55.68454,12.53222",3297.0,,"<div class=""header_links""><a href=""/Restaurants-g806262-Frederiksberg_Copenhagen_Zealand.html?pid=1"">$</a></div>","Helgesvej 29, Frederiksberg, København 2000 Danmark",,,,$,1,-88.0,1608
77,Fuego,4.5,87.0,------162.012.-4.023.,--$$$$---------,677,"55.678135,12.588968",363.0,4.5,Argentinsk,"Holbergsgade 14, København 1057 Danmark",4.0,4.5,4.5,$$$$,3,-87.0,1609
1256,Restaurant Hercegovina,4.5,86.0,"------16,,,,",--$$-$$$------,10,"55.67929,12.497423",5440.0,5.0,Europæisk,"Mørk Hansens Vej 2, Frederiksberg, København 2000 Danmark",5.0,5.0,,$$-$$$,2,-86.0,1610
62,Ristorante Buono,4.5,84.0,"------16,,",--$$-$$$---------,169,"55.67157,12.559303",1819.0,4.5,Europæisk,"Abel Cathrines Gade 21, København 1654 Danmark",4.5,4.5,,$$-$$$,2,-84.0,1611
88,Formel B,4.5,83.0,"------16,,",--$$$$---,608,"55.67058,12.535531",3225.0,4.5,Dansk,"Vesterbrogade 182, København 1800 Danmark",4.0,4.5,4.0,$$$$,3,-83.0,1612
86,Restaurant Koefoed,4.5,82.0,------16275.-1.106.,--$$$$---,674,"55.683163,12.585317",361.0,4.5,Dansk,"Landgreven 3, København 1301 Danmark",4.0,4.5,4.5,$$$$,3,-82.0,1613
1169,Hadis Café,4.5,82.0,------16107.-201.,--$$-$$$---,7,"55.68854,12.52521",3818.0,,Europæisk,"Godthåbsvej 88, Frederiksberg, København 2000 Danmark",,,,$$-$$$,2,-82.0,1614
69,Halifax København K,4.5,81.0,"------16,,",--$$-$$$------,258,"55.678185,12.569627",934.0,4.5,Amerikansk,"Larsbjoernsstraede 9, København 1454 Danmark",4.0,4.5,4.0,$$-$$$,2,-81.0,1615
1158,Cafe Botanika,4.5,81.0,------1640.-127.,--$$-$$$---,6,"55.671963,12.522225",3986.0,,International,"Roskildevej 32 Inside the Copenhagen Zoo, Frederiksberg, København 2000 Danmark",,,,$$-$$$,2,-81.0,1616
63,simpleRAW,4.5,80.0,------1627.-148.,--$$-$$$---------,230,"55.679848,12.575983",515.0,4.5,Europæisk,"Gråbrødretorv 9, København 1154 Danmark",4.0,4.5,,$$-$$$,2,-80.0,1617
1150,Non Solo Trattoria,4.5,80.0,------1647.-101.,--$$-$$$---------,8,"55.68615,12.53453",3188.0,,Europæisk,"Godthaabsvej 29, Frederiksberg, København 2000 Danmark",,,,$$-$$$,2,-80.0,1618
89,Pony,4.5,79.0,------16248.-449.,--$$$$---,274,"55.67022,12.540435",2950.0,4.5,Dansk,"Vesterbrogade 135, København 1620 Danmark",4.0,4.5,4.0,$$$$,3,-79.0,1619
84,Restaurant Brace,4.5,78.0,------1687.-778.,--$$$$------,199,"55.679573,12.568498",985.0,4.5,Dansk,"Teglgardstraede 8A, København 1452 Danmark",4.0,4.5,,$$$$,3,-78.0,1620
1135,D'Taste,4.5,78.0,------16107.-127.,--$$-$$$------,9,"55.68712,12.531334",3407.0,5.0,Kinesisk,"Godthaabsvej 48, Frederiksberg, København 2000 Danmark",4.5,4.5,,$$-$$$,2,-78.0,1621
65,Asador,4.5,77.0,------16101.-899.,--$$-$$$---------,439,"55.672287,12.590602",945.0,4.5,Argentinsk,"Overg. Neden Vandet 17, København 1414 Danmark",4.0,4.5,4.5,$$-$$$,2,-77.0,1622
74,Cafe Gl. Torv - Huset med det grønne træ,4.5,76.0,------1640.-181.,--$$-$$$,195,"55.678246,12.572392",764.0,4.5,Dansk,"Gammeltorv 20, København 1457 Danmark",4.5,4.5,4.5,$$-$$$,2,-76.0,1623
1113,Cafe Oha,4.5,76.0,------1627.-141.,--$$-$$$---------,8,"55.681118,12.517592",4177.0,,Café,"Finsensvej 29, Frederiksberg, København 2000 Danmark",,,,$$-$$$,2,-76.0,1624
64,Toto Vin & Spisebar,4.5,75.0,"------16,",--$$-$$$------,87,"55.65585,12.60989",3130.0,4.5,Europæisk,"Amagerbrogade 145, København 2300 Danmark",4.5,5.0,,$$-$$$,2,-75.0,1625
1087,Mors Køkken,4.5,74.0,,--$$$$$$,10,"55.68599,12.53617",3084.0,,,"Godthaabsvej 16, Frederiksberg, København 2000 Danmark",,,,$$$$$$,99,-74.0,1626
67,Restaurant Palægade,4.5,74.0,------16148.-402.,--$$-$$$---,327,"55.68222,12.586586",291.0,4.5,Dansk,"Palaegade 8, København 1261 Danmark",4.0,4.5,,$$-$$$,2,-74.0,1627
72,Black Swan,4.5,73.0,------16,--$$-$$$,117,"55.68648,12.587611",754.0,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, Pub</div>","Borgergade 93, København 1300 Danmark",4.5,4.0,4.5,$$-$$$,2,-73.0,1628
81,Restaurant AOC,4.5,72.0,"------16,,",--$$$$---,326,"55.68324,12.5892",480.0,4.5,Dansk,"Dronningens Tværgade 2, København 1302 Danmark",4.0,4.5,4.0,$$$$,3,-72.0,1629
61,RetroGusto,4.5,71.0,"------16,",--$$-$$$---------,571,"55.67287,12.558201",1811.0,4.5,Europæisk,"Vesterbrogade 31, 1620 Kbh-V Vesterbrogade 31,, København 1620 Danmark",4.5,4.5,4.5,$$-$$$,2,-71.0,1630
75,Den Lille Fede Restaurant,4.5,70.0,------16536.-6.706.,--$$$$---,721,"55.68215,12.585653",258.0,4.5,Centraleuropæisk,"Store Kongensgade 17, København 1264 Danmark",4.5,4.5,4.5,$$$$,3,-70.0,1631
73,Ravnsborg Kitchen & Bar,4.5,69.0,------1660.-248.,--$$-$$$---------,338,"55.687878,12.561117",1692.0,3.5,Café,"Ravnsborggade 1, København 2200 Danmark",4.0,4.0,,$$-$$$,2,-69.0,1632
78,Aamanns 1921,4.5,68.0,------16148.-449.,--$$-$$$---,205,"55.6803,12.575873",523.0,4.5,Dansk,"Niels Hemmingsens Gade 19-21, København 1153 Danmark",4.5,4.5,,$$-$$$,2,-68.0,1633
1038,Bon Bon Ice,4.5,67.0,,--$$$$$$,12,"55.67876,12.52749",3557.0,,,"Andebakkesti 4, Frederiksberg, København 2000 Danmark",,,,$$$$$$,99,-67.0,1634
60,Aamanns Etablissement,4.5,67.0,------16101.-262.,--$$-$$$---,193,"55.690094,12.57505",1262.0,4.5,Dansk,"Oester Farimagsgade 12, København 2100 Danmark",4.0,4.5,4.0,$$-$$$,2,-67.0,1635
85,Era Ora,4.5,66.0,------16416.-1.281.,--$$$$------,602,"55.673244,12.591508",878.0,4.5,Europæisk,"Overgaden Neden Vandet 33B, København 1414 Danmark",4.0,4.5,4.5,$$$$,3,-66.0,1636
1028,CORK Vinbar,4.5,65.0,------1694.-302.,--$$-$$$------,15,"55.677387,12.537896",2917.0,4.5,Dansk,"Henrik Steffens Vej 2, Frederiksberg, København 1866 Danmark",4.5,4.0,,$$-$$$,2,-65.0,1637
87,Stempel - Bar & Kitchen,4.5,64.0,------16235.-4.023.,--$$-$$$---,264,"55.667545,12.54769",2674.0,4.5,Café,"Enghave Plads 2, København 1670 Danmark",4.5,4.5,,$$-$$$,2,-64.0,1638
71,Chez Bruno,4.5,63.0,------1674.-235.,--$$-$$$---------,392,"55.673634,12.555206",1949.0,4.5,Europæisk,"Gammel Kongevej 27, St, København 1610 Danmark",4.5,4.5,4.5,$$-$$$,2,-63.0,1639
47,KöD København,4.5,62.0,"------16,,,,",--$$-$$$---------,1.010,"55.677498,12.582363",298.0,4.5,Amerikansk,"Admiralgade 25, København 1066 Danmark",4.5,4.5,5.0,$$-$$$,2,-62.0,1640
76,Restaurant Ravelinen,4.5,61.0,------1674.-221.,--$$-$$$---,354,"55.6704,12.595598",1283.0,4.5,Dansk,"Torvegade 79, København 1400 Danmark",4.5,4.5,4.5,$$-$$$,2,-61.0,1641
986,Kanton 27,4.5,60.0,"------16,",---,11,"55.681202,12.53187",3283.0,4.5,Europæisk,"Solbjergvej 8, Frederiksberg, København 2000 Danmark",4.5,4.5,,$$$$$$,99,-60.0,1642
46,Khun Juk Oriental,4.5,60.0,------1694.-235.,--$$-$$$---------,810,"55.68213,12.58526",249.0,4.5,Asiatisk,"Store Kongensgade 9 Backyard, København Danmark",4.5,4.5,4.5,$$-$$$,2,-60.0,1643
82,Palæ Bar,4.5,59.0,"------16,,",--$,136,"55.6813,12.583736",150.0,4.5,Bar,"Ny Adelgade 5, København 1104 Danmark",4.5,4.0,,$,1,-59.0,1644
58,Kiin Kiin,4.5,58.0,------16657.-1.153.,--$$$$---------,801,"55.6919,12.557358",2142.0,4.5,Asiatisk,"Guldbergsgade 21, København 2200 Danmark",4.5,4.5,4.5,$$$$,3,-58.0,1645
50,BENTO Restaurant & Cocktail Bar,4.5,57.0,------16101.-349.,--$$-$$$---------,287,"55.67139,12.561472",1715.0,5.0,Asiatisk,"Helgolandsgade 16, København 1653 Danmark",4.0,4.5,4.5,$$-$$$,2,-57.0,1646
33,Souls Nørreport,4.5,56.0,"------16,,",--$$-$$$------,108,"55.685238,12.568355",1152.0,5.0,Europæisk,"Nørre Farimagsgade 63, København Danmark",4.5,4.5,,$$-$$$,2,-56.0,1647
938,Mudan Restaurant,4.5,56.0,"------16,,",--$$-$$$,13,"55.685024,12.500991",5246.0,,"<div class=""header_links""><a href=""/Restaurants-g806262-Frederiksberg_Copenhagen_Zealand.html?pid=6"">$$ - $$$</a></div>","Dirch Passers Allé 30-32, Frederiksberg, København 2000 Danmark",,,,$$-$$$,2,-56.0,1648
44,Mad & Kaffe,4.5,55.0,"------16,,,",--$$-$$$------,528,"55.665863,12.550308",2641.0,4.0,Café,"Sønder Boulevard 68 København V, København 1720 Danmark",4.0,4.5,,$$-$$$,2,-55.0,1649
920,Kato Sushi,4.5,53.0,"------16,",--$$-$$$,20,"55.68112,12.55284",1969.0,4.0,"<div class=""header_links""><a href=""/Restaurants-g806262-Frederiksberg_Copenhagen_Zealand.html?pid=6"">$$ - $$$</a></div>","Rosenørns Allé, Frederiksberg, København 1970 Danmark",5.0,5.0,,$$-$$$,2,-53.0,1650
56,Kadeau,4.5,53.0,------16650.-952.,--$$$$---,296,"55.672188,12.588876",915.0,4.5,Dansk,"Wildersgade 10B Christianhavn, København 1408 Danmark",4.0,4.5,4.5,$$$$,3,-53.0,1651
37,Restaurant Tight,4.5,52.0,------1680.-255.,--$$-$$$---------,2.868,"55.678165,12.576488",523.0,4.5,Europæisk,"Hyskenstræde 10, København 1207 Danmark",4.5,4.5,4.5,$$-$$$,2,-52.0,1652
45,Restaurant Amalie,4.5,51.0,------1660.-141.,--$$-$$$---,415,"55.68273,12.592147",585.0,4.5,Dansk,"Amaliegade 11, København 1256 Danmark",4.5,4.5,4.5,$$-$$$,2,-51.0,1653
925,Olivers Oase,4.5,50.0,"------16,,",--$$-$$$------,15,"55.67449,12.533772",3219.0,4.5,Café,"Frederiksberg Allé 69, Frederiksberg, København 1820 Danmark",4.0,4.5,,$$-$$$,2,-50.0,1654
41,Restaurant Schoennemann,4.5,50.0,"------16,,",--$$-$$$---,730,"55.682747,12.575774",611.0,4.5,Dansk,"Hauser Plads 16, København 1127 Danmark",4.0,4.5,4.5,$$-$$$,2,-50.0,1655
55,Morgenstedet,4.5,49.0,------1634.-101.,--$---------,244,"55.673927,12.603153",1366.0,4.0,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=1"">$</a>, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a>, <a href=""/Restaurants-g189541-zfz10697-Copenhagen_Zealand.html"">Veganske retter</a>, <a href=""/Restaurants-g189541-zfz10992-Copenhagen_Zealand.html"">Glutenfri retter</a></div>","Fabriksomraadet 134, København 1440 Danmark",4.5,4.5,4.5,$,1,-49.0,1656
903,Apartment 38,4.5,48.0,------1613.-80.,--$---,11,"55.68002,12.54872",2224.0,,Dansk,"H.C. Ørstedsvej 38, Frederiksberg, København 1879 Danmark",,,,$,1,-48.0,1657
48,KöD Vesterbro,4.5,48.0,------16168.-449.,--$$-$$$---------,768,"55.6728,12.558157",1817.0,4.5,Europæisk,"Vesterbrogade 33, København 1620 Danmark",4.5,4.5,,$$-$$$,2,-48.0,1658
901,Sushi Factory,4.5,47.0,------16,--$$-$$$,14,"55.688744,12.524323",3877.0,4.5,"<div class=""header_links""><a href=""/Restaurants-g806262-Frederiksberg_Copenhagen_Zealand.html?pid=6"">$$ - $$$</a></div>","Godthåbsvej 96, Frederiksberg, København 2000 Danmark",4.5,4.5,,$$-$$$,2,-47.0,1659
40,Sporvejen,4.5,47.0,------1627.-101.,--$---,976,"55.679707,12.575636",537.0,4.5,Dansk,"Graabroedretorv 17, København 1154 Danmark",4.5,4.5,4.5,$,1,-47.0,1660
35,Restaurant Radio,4.5,46.0,"------16,,",--$$$$---,846,"55.682026,12.554082",1901.0,4.5,Dansk,"Julius Thomsens Gade 12, København Danmark",4.5,4.5,4.5,$$$$,3,-46.0,1661
51,Frenchy,4.5,45.0,"------16,,,",--$$-$$$---------,190,"55.677998,12.576669",520.0,5.0,Café,"Hyskenstraede 16 Store Kongensgade 69, København 1207 Danmark",4.5,4.5,5.0,$$-$$$,2,-45.0,1662
36,Chao Viet Kitchen,4.5,44.0,------1613.-107.,--$---------,362,"55.677105,12.571456",860.0,4.0,Asiatisk,"Kattesundet 8 Indre By, København 1458 Danmark",4.0,4.5,,$,1,-44.0,1663
34,Temporada Tapasbodega,4.5,43.0,------16302.-349.,--$$-$$$---------,282,"55.684452,12.554217",1944.0,4.5,Europæisk,"Åboulevard 23 Frederiksberg, København 2000 Danmark",4.5,4.5,4.5,$$-$$$,2,-43.0,1664
52,Sankt Annae 8,4.5,42.0,"------16,,",--$$-$$$---,204,"55.673985,12.591411",806.0,4.5,Dansk,"Wildersgade 52, København Danmark",4.5,4.5,4.5,$$-$$$,2,-42.0,1665
49,Restaurant Under Uret - Frokost,4.5,41.0,"------16,,",--$$-$$$---,166,"55.689465,12.575",1202.0,5.0,Dansk,"Øster Farimagsgade 4, København 2100 Danmark",4.5,4.5,4.5,$$-$$$,2,-41.0,1666
53,Restaurant Nepali Bhancha,4.5,40.0,------16101.-248.,--$$-$$$------,223,"55.70341,12.547717",3466.0,4.5,Nepalesisk,"H C Ørsteds Vej 50 D, København 1879 Danmark",4.5,5.0,,$$-$$$,2,-40.0,1667
726,Mad & Kaffe,4.5,39.0,------1667.-148.,--$$-$$$---,31,"55.686745,12.531778",3371.0,4.5,Dansk,"Godthåbsvej 45 st, Frederiksberg, København 2000 Danmark",4.5,5.0,,$$-$$$,2,-39.0,1668
57,Vaekst,4.5,39.0,"------16,,",--$$$$,550,"55.6788,12.566957",1088.0,4.5,Dansk,"Sankt Peders Stræde 34, København 1453 Danmark",4.0,4.5,,$$$$,3,-39.0,1669
31,Höst,4.5,38.0,------16302.-798.,--$$$$,2.027,"55.683228,12.566168",1186.0,4.5,Dansk,"Nørre Farimagsgade 41, København 1364 Danmark",4.5,4.5,4.5,$$$$,3,-38.0,1670
59,L'Enoteca di Mr. Brunello Restaurant & Wine Shop,4.5,37.0,"------16,,,",--$$$$---------,219,"55.67104,12.574041",1180.0,5.0,Europæisk,"Rysensteensgade 16, København 1564 Danmark",4.5,4.5,,$$$$,3,-37.0,1671
38,Noma,4.5,36.0,------16,--$$$$------,1.642,"55.67787,12.596145",785.0,5.0,Moderne,"Refshalevej 96, København 1432 Danmark",4.0,4.5,4.5,$$$$,3,-36.0,1672
638,Hos Otto,4.5,35.0,------1694.-396.,--$$-$$$------,25,"55.674156,12.537217",3015.0,4.5,Centraleuropæisk,"Frederiksberg Alle 55, Frederiksberg, København 1820 Danmark",4.5,4.5,,$$-$$$,2,-35.0,1673
54,Madglad,4.5,34.0,------1627.-47.,--$---,169,"55.670685,12.555624",2068.0,4.0,Dansk,"Eskildsgade 13, København 1657 Danmark",4.5,4.5,,$,1,-34.0,1674
600,Olioli,4.5,34.0,------1613.-127.,--$$-$$$---------,27,"55.677895,12.534863",3101.0,4.5,Asiatisk,"Gammel Kongevej 169, Frederiksberg, København 1850 Danmark",4.5,4.5,,$$-$$$,2,-34.0,1675
42,Kong Hans Kaelder,4.5,33.0,"------16,,,",--$$$$------,286,"55.67888,12.584211",122.0,4.5,Europæisk,"Vingaardstraede 6, København 1070 Danmark",4.0,4.5,4.5,$$$$,3,-33.0,1676
39,Restaurant Cofoco,4.5,32.0,------16503.-1.073.,--$$-$$$,1.066,"55.671722,12.55859",1849.0,4.5,Dansk,"Abel Cathrines Gade 7, København Danmark",4.5,4.5,4.5,$$-$$$,2,-32.0,1677
644,Trattoria 54,4.5,32.0,------1687.-194.,--$$-$$$------,28,"55.683575,12.536806",2997.0,4.5,Italiensk,"Falkoner Alle 54, Frederiksberg, København 2000 Danmark",4.5,5.0,,$$-$$$,2,-32.0,1678
30,Souls,4.5,31.0,"------16,,",--$$-$$$---------,647,"55.70349,12.585388",2616.0,4.5,Café,"Melchiors Plads 3, København 2100 Danmark",4.5,4.5,,$$-$$$,2,-31.0,1679
12,Restaurant Garden,4.5,30.0,------1674.-221.,--$$-$$$---,135,"55.68335,12.57827",528.0,4.5,Dansk,"Gothersgade 87 Kælder, København 1123 Danmark",4.5,4.5,,$$-$$$,2,-30.0,1680
487,Blaabjerg & Madsen - Frederiksberg,4.5,30.0,------1660.-101.,--$------,39,"55.687237,12.530319",3472.0,4.0,Fastfood,"Godthabsvej 54 2000 Frederiksberg, Frederiksberg, København 2000 Danmark",4.5,4.5,,$,1,-30.0,1681
497,Ewalds,4.5,29.0,------16121.-295.,--$$-$$$------,35,"55.67762,12.533413",3194.0,4.5,Café,"Allegade 24a, Frederiksberg, København 2000 Danmark",4.5,4.5,,$$-$$$,2,-29.0,1682
9,Ché Fè,4.5,29.0,------16349.-496.,--$$-$$$---------,580,"55.684223,12.585324",477.0,4.5,Europæisk,"Borgergade 17A, København 1300 Danmark",4.5,4.5,4.0,$$-$$$,2,-29.0,1683
0,Restaurant Grønnegade,4.5,28.0,------16201.-664.,--$$$$---,525,"55.681705,12.583386",199.0,4.5,Dansk,"Grønnegade 39, København 1107 Danmark",4.5,4.5,4.5,$$$$,3,-28.0,1684
25,Trattoria l’Alba,4.5,27.0,------16248.-382.,--$$-$$$---------,176,"55.678543,12.589863",390.0,4.5,Fisk og skaldyr,"Holbergsgade 17 Ved Nyhavnsbroen, København 1057 Danmark",4.5,5.0,,$$-$$$,2,-27.0,1685
7,Feed Bistro,4.5,26.0,"------16,,",--$$-$$$---,548,"55.688663,12.559759",1811.0,4.5,Dansk,"Faelledvej 5, København 2200 Danmark",4.5,4.5,,$$-$$$,2,-26.0,1686
5,Goomi,4.5,25.0,------1660.-449.,--$$-$$$------,271,"55.673717,12.589529",772.0,4.5,Asiatisk,"Strandgade 20, København 1401 Danmark",4.5,4.5,4.5,$$-$$$,2,-25.0,1687
19,Café Patina,4.5,24.0,------1620.-201.,--$$-$$$---------,96,"55.66791,12.548128",2629.0,5.0,Europæisk,"Mysundegade 26, København 1668 Danmark",4.5,4.5,,$$-$$$,2,-24.0,1688
369,La Bonne,4.5,22.0,------1620.-134.,--$$-$$$---,36,"55.6792,12.526037",3647.0,5.0,Fransk,"Smallegade 39, Frederiksberg, København 2000 Danmark",5.0,5.0,,$$-$$$,2,-22.0,1689
18,Studio - The Standard,4.5,22.0,"------16,,",--$$$$---,453,"55.67783,12.592299",562.0,5.0,Dansk,"Havnegade 44, København 1058 Danmark",4.5,5.0,4.5,$$$$,3,-22.0,1690
26,The Red Box,4.5,21.0,------16342.-490.,--$$-$$$---------,515,"55.683018,12.586555",369.0,5.0,Asiatisk,"Store Kongensgade 42, København 1264 Danmark",4.5,4.5,4.5,$$-$$$,2,-21.0,1691
13,BODIL - et spisested,4.5,20.0,------16382.-758.,--$$-$$$------,208,"55.66416,12.545544",2994.0,4.5,International,"Søndre Boulevard 105, København 1720 Danmark",4.5,5.0,,$$-$$$,2,-20.0,1692
11,Restaurant Schonnemann,4.5,19.0,"------16,",--$$-$$$,162,"55.68277,12.575768",613.0,4.5,Dansk,"Haydee Plads 16-28, København 1127 Danmark",4.5,4.5,,$$-$$$,2,-19.0,1693
263,Famosi e Golosi,4.5,18.0,------16201.-999.,--$$-$$$---------,111,"55.6848,12.540813",2772.0,4.5,Europæisk,"Rolighedsvej 10 Italiensk restaurant taet på Forum, Frederiksberg, København 1958 Danmark",4.5,4.5,4.5,$$-$$$,2,-18.0,1694
1,Basso København,4.5,18.0,------16127.-496.,--$$-$$$---------,345,"55.68388,12.58657",459.0,4.5,Europæisk,"Dronningens Tvaergade 22, København 1302 Danmark",4.5,4.5,,$$-$$$,2,-18.0,1695
255,Carne Famo,4.5,17.0,------16241.-972.,--$$-$$$---------,216,"55.67444,12.550386",2207.0,4.5,Europæisk,"Gammel Kongevej 51, Frederiksberg, København 1610 Danmark",4.0,4.5,4.5,$$-$$$,2,-17.0,1696
28,Trattoria SUD,4.5,17.0,------1634.-999.,--$$-$$$---------,306,"55.684696,12.568494",1115.0,5.0,Europæisk,"Frederiksborggade 27 Close to Nørreport station and Israels Plads, København 1360 Danmark",4.5,4.5,,$$-$$$,2,-17.0,1697
10,Restaurant leaven,4.5,16.0,------1634.-697.,--$$$$------,309,"55.681232,12.584203",140.0,5.0,Fisk og skaldyr,"Ny Adelgade 4, København 1104 Danmark",4.5,5.0,,$$$$,3,-16.0,1698
232,Made in Italy,4.5,15.0,------1620.-114.,--$---------,69,"55.670746,12.532621",3392.0,4.5,Europæisk,"Vesterbrogade 200 Frederiksberg C, Frederiksberg, København 1800 Danmark",5.0,5.0,,$,1,-15.0,1699
239,Salon 39,4.5,14.0,------16,--$$-$$$---,150,"55.67839,12.554656",1860.0,4.5,Europæisk,"Vodroffsvej 39, Frederiksberg, København 1900 Danmark",4.0,4.0,4.5,$$-$$$,2,-14.0,1700
15,Husmann's Vinstue,4.5,14.0,"------16,,",--$$-$$$---,255,"55.677773,12.570244",908.0,5.0,Dansk,"Larsbjørnsstræde 2, København 1454 Danmark",4.5,4.5,4.5,$$-$$$,2,-14.0,1701
27,Kokkeriet,4.5,13.0,------16771.-972.,--$$$$---,770,"55.687626,12.585126",853.0,5.0,Dansk,"Kronprinsessegade 64, København 1306 Danmark",4.5,5.0,,$$$$,3,-13.0,1702
23,Banana Joe,4.5,12.0,------1634.-54.,--$---------,411,"55.690052,12.559024",1935.0,5.0,Amerikansk,"Elmegade 18, København 2200 Danmark",5.0,5.0,4.5,$,1,-12.0,1703
