God pris,Mad,Restaurant,Service,Stemning,Location,Number of reviews,Price class,Main rating,Ranking on list,Price range,Type of food,Address,Type of food link
45,45,Nærvær,45,,"55.677216,12.596492",73,--$$$$---------,"4,5",390,201,Fisk og skaldyr,"Strandgade 87E Krøyers Plads, København 1401 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c33-Copenhagen_Zealand.html"">Fisk og skaldyr</a>, <a href=""/Restaurants-g189541-c22-Copenhagen_Zealand.html"">International</a>, <a href=""/Restaurants-g189541-c28-Copenhagen_Zealand.html"">Middelhavsområdet</a></div>"
40,45,The South Indian Frederisberg,40,40,"55.685764,12.536876",115,--$$-$$$---------,"4,0",359,302,Indisk,"Godthåbsvej 12, København 2000 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c10679-Copenhagen_Zealand.html"">Sund</a>, <a href=""/Restaurants-g189541-c24-Copenhagen_Zealand.html"">Indisk</a>, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a></div>"
40,40,Broens Gadekøkken,40,,"55.67795,12.596839",75,--$$-$$$---------,"4,5",316,NaN,Amerikansk,"Strandgade 95, København 1401 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c2-Copenhagen_Zealand.html"">Amerikansk</a>, <a href=""/Restaurants-g189541-c10639-Copenhagen_Zealand.html"">Latinamerikansk</a>, <a href=""/Restaurants-g189541-c3-Copenhagen_Zealand.html"">Asiatisk</a></div>"
45,50,Hachi Sushi,45,,"55.698742,12.57856",45,--$$-$$$---------,"5,0",352,NaN,Fisk og skaldyr,"Rosenvængets Allé, København 2100 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c27-Copenhagen_Zealand.html"">Japansk</a>, <a href=""/Restaurants-g189541-c33-Copenhagen_Zealand.html"">Fisk og skaldyr</a>, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a></div>"
40,40,La Galette,35,35,"55.67818,12.569036",207,--$$-$$$---------,"4,0",357,NaN,Europæisk,"Larsbjoernsstraede 9, København 1454 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c20-Copenhagen_Zealand.html"">Fransk</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a></div>"
45,50,Midori - Izakaya and Greenery,45,,"55.681286,12.582967",78,--$$-$$$------,"4,5",329,NaN,Asiatisk,"Grønnegade 28, København 1107 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c27-Copenhagen_Zealand.html"">Japansk</a>, Moderne, <a href=""/Restaurants-g189541-c3-Copenhagen_Zealand.html"">Asiatisk</a></div>"
35,40,Cap Horn,40,45,"55.680363,12.589559",1486,--$$-$$$---,"4,0",341,NaN,Europæisk,"Nyhavn 21, København 1052 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, Pub, Gastropub, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a></div>"
35,40,Orangeriet,35,45,"55.684704,12.581986",333,--$$-$$$---,"4,0",355,NaN,Dansk,"Kronprinsessegade 13, København Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>"
45,45,Wining &amp; Dining,45,40,"55.679905,12.57544",128,--$$-$$$---,"4,5",340,342,Europæisk,"Graabroedretorv 12, København 1154 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a></div>"
35,40,Hidden Dimsum,40,,"55.67746,12.573211",99,--$$-$$$---------,"4,5",358,349,Asiatisk,"Nytorv 19, København 1450 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c11-Copenhagen_Zealand.html"">Kinesisk</a>, <a href=""/Restaurants-g189541-c3-Copenhagen_Zealand.html"">Asiatisk</a>, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a></div>"
45,45,Beyzade,45,,"55.674324,12.558803",59,--$$-$$$---------,"4,5",353,NaN,Mellemøstlig,"Gammel Kongevej 9, København Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c10663-Copenhagen_Zealand.html"">Tyrkisk</a>, <a href=""/Restaurants-g189541-c30-Copenhagen_Zealand.html"">Mellemøstlig</a>, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a></div>"
45,45,Lazio,45,45,"55.692,12.514204",116,--$$-$$$------,"4,5",348,228,Italiensk,"Godthaabsvej 191, København 2720 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c26-Copenhagen_Zealand.html"">Italiensk</a>, <a href=""/Restaurants-g189541-c31-Copenhagen_Zealand.html"">Pizza</a></div>"
40,40,Ristorante Fabio,40,45,"55.68366,12.536819",295,--$$-$$$---------,"4,0",19,148,Europæisk,"Falkoner Alle 56, Frederiksberg, København 2000 Danmark","<div class=""header_links""><a href=""/Restaurants-g806262-Frederiksberg_Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g806262-c26-Frederiksberg_Copenhagen_Zealand.html"">Italiensk</a>, <a href=""/Restaurants-g806262-c18-Frederiksberg_Copenhagen_Zealand.html"">Europæisk</a>, <a href=""/Restaurants-g806262-zfz10665-Frederiksberg_Copenhagen_Zealand.html"">Vegetarvenlig</a></div>"
35,45,GURU,40,45,"55.676147,12.566421",810,--$$-$$$------,"4,0",356,NaN,Asiatisk,"Jernbanegade 3 København V, København 1608 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c24-Copenhagen_Zealand.html"">Indisk</a>, <a href=""/Restaurants-g189541-c3-Copenhagen_Zealand.html"">Asiatisk</a>, Moderne</div>"
40,40,Tony's,40,40,"55.67798,12.591799",439,--$$-$$$---------,"4,0",338,671,Europæisk,"Havnegade 47, København 1058 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c26-Copenhagen_Zealand.html"">Italiensk</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a></div>"
45,,Cube Bar,50,,"55.673367,12.561259",54,--$$-$$$,"4,5",381,NaN,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a></div>","Vesterbrogade 11B, København 2620 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a></div>"
40,45,Restaurant D'Angleterre,45,45,"55.6807,12.584952",122,--$$$$------,"4,5",370,NaN,Europæisk,"Kongens Nytorv 34, København 1050 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c20-Copenhagen_Zealand.html"">Fransk</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a></div>"
35,40,Granola,40,45,"55.67328,12.549996",491,--$$-$$$------,"4,0",23,134,Café,"Værnedamsvej 5, Frederiksberg, København 1819 Danmark","<div class=""header_links""><a href=""/Restaurants-g806262-Frederiksberg_Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g806262-c8-Frederiksberg_Copenhagen_Zealand.html"">Café</a>, <a href=""/Restaurants-g806262-c18-Frederiksberg_Copenhagen_Zealand.html"">Europæisk</a>, Dansk</div>"
45,45,Barril,45,,"55.673058,12.560778",73,--$$-$$$---,"4,5",366,1.442,Bar,"Helgolandsgade 2, København 1653 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, Vinstue, <a href=""/Restaurants-g189541-c26-Copenhagen_Zealand.html"">Italiensk</a>, Bar</div>"
45,45,Perbacco,45,,"55.68087,12.578186",63,--$$-$$$------,"5,0",372,107,Italiensk,"Klareboderne 6, København 1115 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c26-Copenhagen_Zealand.html"">Italiensk</a>, <a href=""/Restaurants-g189541-c31-Copenhagen_Zealand.html"">Pizza</a>, Vinstue</div>"
40,40,Restaurant Dubrovnik,40,40,"55.678165,12.568126",96,--$$-$$$------,"4,0",380,NaN,Europæisk,"Studiestræde 32, København 1455 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c28-Copenhagen_Zealand.html"">Middelhavsområdet</a>, Kroatisk, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a></div>"
45,45,Co-ma Bistro,45,,"55.676464,12.564306",121,--$$-$$$------,"4,0",360,228,Bar,"Axeltorv 8 DK, København 1609 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c31-Copenhagen_Zealand.html"">Pizza</a>, Bar, <a href=""/Restaurants-g189541-c10679-Copenhagen_Zealand.html"">Sund</a></div>"
35,40,MASH Penthouse,35,,"55.6663,12.565255",355,--$$$$---------,"4,0",383,NaN,Amerikansk,"Arni Magnussons Gade 4 Tivoli Hotel, København 1577 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c2-Copenhagen_Zealand.html"">Amerikansk</a>, <a href=""/Restaurants-g189541-c37-Copenhagen_Zealand.html"">Steakhouse</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a></div>"
40,45,Antons Køkken,45,45,"55.665886,12.57875",173,--$$-$$$---,"4,0",379,2.005,Dansk,"Egilsgade 20 Basement, København 2300 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>"
50,50,La Bonne,50,,"55.6792,12.526037",36,--$$-$$$---,"4,5",22,134,Fransk,"Smallegade 39, Frederiksberg, København 2000 Danmark","<div class=""header_links""><a href=""/Restaurants-g806262-Frederiksberg_Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g806262-c20-Frederiksberg_Copenhagen_Zealand.html"">Fransk</a></div>"
35,35,Hereford Steak,35,35,"55.682816,12.58647",226,--$$-$$$------,"4,0",366,249,Europæisk,"Store Kongensgade 38, København 1264 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c37-Copenhagen_Zealand.html"">Steakhouse</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a></div>"
40,45,Deligreco,45,45,"55.67805,12.534747",170,--$$-$$$---------,"4,0",20,201,Græsk,"Gammel Kongevej 170, Frederiksberg, København 1850 Danmark","<div class=""header_links""><a href=""/Restaurants-g806262-Frederiksberg_Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g806262-c28-Frederiksberg_Copenhagen_Zealand.html"">Middelhavsområdet</a>, <a href=""/Restaurants-g806262-c23-Frederiksberg_Copenhagen_Zealand.html"">Græsk</a>, <a href=""/Restaurants-g806262-zfz10665-Frederiksberg_Copenhagen_Zealand.html"">Vegetarvenlig</a></div>"
40,45,Restaurant Viva,45,45,"55.670357,12.580497",114,--$$-$$$---,"4,0",384,751,Dansk,"Langebrogade 570, København 1411 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c33-Copenhagen_Zealand.html"">Fisk og skaldyr</a>, Skandinavisk, Dansk</div>"
40,40,Vespa,40,35,"55.685787,12.588984",182,--$$-$$$------,"4,0",377,1.048,Italiensk,"Store Kongensgade 90, København 1264 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c26-Copenhagen_Zealand.html"">Italiensk</a>, <a href=""/Restaurants-g189541-c28-Copenhagen_Zealand.html"">Middelhavsområdet</a>, Spisested</div>"
35,40,Rambla,40,40,"55.631634,12.574752",235,--$$-$$$---------,"4,0",365,248,Europæisk,"Arne Jacobsens Allé 9, København 2300 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c28-Copenhagen_Zealand.html"">Middelhavsområdet</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, <a href=""/Restaurants-g189541-c36-Copenhagen_Zealand.html"">Spansk</a></div>"
40,40,Krøgers Familiehave ,45,45,"55.67094,12.531083",173,--$$-$$$,"4,0",21,201,Dansk,"Pile Alle 18, Frederiksberg, København 2000 Danmark","<div class=""header_links""><a href=""/Restaurants-g806262-Frederiksberg_Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, Skandinavisk, Dansk</div>"
35,40,Rasoi,35,35,"55.635212,12.582294",191,--$$-$$$---------,"4,0",362,201,Asiatisk,"Ørestads Boulevard 55B, København 2300 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c24-Copenhagen_Zealand.html"">Indisk</a>, <a href=""/Restaurants-g189541-c3-Copenhagen_Zealand.html"">Asiatisk</a>, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a></div>"
35,40,Cantina,40,,"55.68244,12.584143",240,--$$-$$$---------,"4,0",376,NaN,Italiensk,"Borgergade 2, København 1300 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c26-Copenhagen_Zealand.html"">Italiensk</a>, <a href=""/Restaurants-g189541-c31-Copenhagen_Zealand.html"">Pizza</a>, <a href=""/Restaurants-g189541-c28-Copenhagen_Zealand.html"">Middelhavsområdet</a></div>"
45,50,Kopan Rice,45,,"55.68455,12.571413",37,--$---------,"4,5",391,148,Asiatisk,"Linnésgade 24, stuen th. KOPAN STREET | Torvehallerne KBH, København 1361 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=1"">$</a>, <a href=""/Restaurants-g189541-c3-Copenhagen_Zealand.html"">Asiatisk</a>, <a href=""/Restaurants-g189541-c10661-Copenhagen_Zealand.html"">Koreansk</a>, <a href=""/Restaurants-g189541-c17-Copenhagen_Zealand.html"">Fusion</a></div>"
35,40,Nimb Bar’N' Grill,40,35,"55.673332,12.566376",153,--$$$$------,"4,0",399,NaN,Europæisk,"Bernstorffsgade 5, København 1577 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c37-Copenhagen_Zealand.html"">Steakhouse</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a></div>"
40,40,Il Ponte Restaurant,45,40,"55.67656,12.571904",187,--$$-$$$---------,"4,0",375,194,Europæisk,"Lavendelstraede 6, København 1462 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c26-Copenhagen_Zealand.html"">Italiensk</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a></div>"
40,40,Falernum,40,45,"55.674072,12.549883",121,--$$-$$$---,"4,0",387,295,Europæisk,"Vaernedamsvej 16, København 1619 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Vinstue</div>"
35,40,Nyhavns Faergekro,40,45,"55.68072,12.588305",1022,--$$-$$$---,"4,0",361,228,Dansk,"Nyhavn 5, København 1051 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>"
35,45,Behov,35,,"55.7091,12.519331",80,--$$-$$$---------,"4,5",374,NaN,Europæisk,"Rentemestervej 94, København 2450 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c26-Copenhagen_Zealand.html"">Italiensk</a>, <a href=""/Restaurants-g189541-c31-Copenhagen_Zealand.html"">Pizza</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a></div>"
40,40,WOK Vesterbro,45,35,"55.671547,12.545605",110,--$---------,"4,5",382,NaN,Asiatisk,"Vesterbrogade 103 Vesterbro, København 1620 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=1"">$</a>, <a href=""/Restaurants-g189541-c10646-Copenhagen_Zealand.html"">Fastfood</a>, <a href=""/Restaurants-g189541-c3-Copenhagen_Zealand.html"">Asiatisk</a>, <a href=""/Restaurants-g189541-c39-Copenhagen_Zealand.html"">Thai</a></div>"
50,45,Thirion - Charcuterie &amp; Vins,50,45,"55.6725,12.59435",43,--$$-$$$---,"5,0",363,NaN,Belgisk,"Prinsessegade 50, København 1422 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, Belgisk, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a></div>"
35,45,Restaurant Sankt Annae,40,45,"55.681576,12.591408",239,--$$$$---,"4,0",388,NaN,Dansk,"12 Sankt Annæ Plads, København Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>"
40,45,Sticks'n'Sushi,40,40,"55.736664,12.574831",111,--$$-$$$---------,"4,0",373,550,Asiatisk,"Strandvejen 199, København 2900 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c27-Copenhagen_Zealand.html"">Japansk</a>, <a href=""/Restaurants-g189541-c38-Copenhagen_Zealand.html"">Sushi</a>, <a href=""/Restaurants-g189541-c3-Copenhagen_Zealand.html"">Asiatisk</a></div>"
40,40,Fru Nimb,40,,"55.673653,12.566953",226,--$$-$$$---,"4,0",378,NaN,Dansk,"Bernstorffsgade 5, København 1630 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>"
35,40,Restaurant LêLê,40,35,"55.672493,12.55578",494,--$$-$$$------,"3,5",385,1.194,Asiatisk,"Vesterbrogade 40, København 1620 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, Moderne, <a href=""/Restaurants-g189541-c3-Copenhagen_Zealand.html"">Asiatisk</a>, <a href=""/Restaurants-g189541-c41-Copenhagen_Zealand.html"">Vietnamesisk</a></div>"
35,40,Nytorv Restaurant and Cafe,40,40,"55.677418,12.573448",448,--$$-$$$---,"3,5",402,NaN,Dansk,"Nytorv 15 1450, København Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>"
35,40,Restaurant M,40,35,"55.683556,12.587222",145,--$$-$$$---,"4,0",412,NaN,Dansk,"Store Kongensgade 56, København 1264 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>"
35,35,The Old English Pub,40,40,"55.67562,12.566665",173,--$$-$$$---,"4,0",413,NaN,Bar,"Vesterbrogade 2B, 1620, København Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, Bar, <a href=""/Restaurants-g189541-c7-Copenhagen_Zealand.html"">Britisk</a>, Pub</div>"
40,45,Cafe Royal,45,,"55.674698,12.564094",57,--$$$$------,"4,5",435,999,Europæisk,"Hammerichsgade 1, København 1611 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c22-Copenhagen_Zealand.html"">International</a>, Grill, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a></div>"
35,40,Dag H,40,40,"55.6958,12.580504",256,--$$-$$$------,"4,0",393,302,Café,"Dag Hammarskjölds Allé, København 2100 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c8-Copenhagen_Zealand.html"">Café</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk</div>"
30,35,Restaurant Galionen,35,40,"55.68028,12.589475",312,--$$-$$$------,"3,5",418,NaN,Europæisk,"Nyhavn 23, København K 1051 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c33-Copenhagen_Zealand.html"">Fisk og skaldyr</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk</div>"
40,45,Le Petit i Torvehallerne,45,,"55.683887,12.569258",54,--$$-$$$------,"4,5",396,NaN,Europæisk,"Frederiksborggade 21, København 1360 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c20-Copenhagen_Zealand.html"">Fransk</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Vinstue</div>"
45,45,Restaurant Taller,50,,"55.678646,12.587219",62,--$$$$---------,"4,5",401,NaN,Latinamerikansk,"Tordenskjold 11, København Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c10639-Copenhagen_Zealand.html"">Latinamerikansk</a>, <a href=""/Restaurants-g189541-c10715-Copenhagen_Zealand.html"">Venezuelansk</a>, <a href=""/Restaurants-g189541-c35-Copenhagen_Zealand.html"">Sydamerikansk</a></div>"
50,50,Dina Bar Kafe,50,,"55.677685,12.567221",25,--$$-$$$---------,"5,0",405,141,Amerikansk,"Vester Voldgade 19, København 1552 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c26-Copenhagen_Zealand.html"">Italiensk</a>, <a href=""/Restaurants-g189541-c20-Copenhagen_Zealand.html"">Fransk</a>, <a href=""/Restaurants-g189541-c2-Copenhagen_Zealand.html"">Amerikansk</a></div>"
40,40,Brooklyn Bar København,40,40,"55.6799,12.591476",223,--$$-$$$---,"4,0",404,NaN,Dansk,"Toldbodgade 3, København 1253 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>"
45,50,PUBLIC - The Italian Social Dining Bar,50,,"55.66934,12.558103",53,--$$-$$$---,"4,5",408,349,Italiensk,"Halmtorvet 36, København 1700 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c26-Copenhagen_Zealand.html"">Italiensk</a>, Toscansk, Siciliansk</div>"
40,40,Bonjour Vietnam,40,35,"55.672768,12.555522",391,--$$-$$$------,"4,0",415,20,Asiatisk,"Vesterbrogade 44, København 1620 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c3-Copenhagen_Zealand.html"">Asiatisk</a>, Grill, <a href=""/Restaurants-g189541-c41-Copenhagen_Zealand.html"">Vietnamesisk</a></div>"
,,Mums Deli,,,"55.67669,12.57466",28,--$---------,"5,0",392,NaN,Café,"Kompagnistraede 31, København 1208 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=1"">$</a>, <a href=""/Restaurants-g189541-c8-Copenhagen_Zealand.html"">Café</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, <a href=""/Restaurants-g189541-c10679-Copenhagen_Zealand.html"">Sund</a></div>"
35,40,BOB Biomio Organic Bistro,40,40,"55.66926,12.558733",664,--$$-$$$---,"4,0",409,248,Dansk,"Halmtorvet 19 The BOSCH building, København 1700 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>"
40,35,Cafe Langebro,40,40,"55.66925,12.580342",67,--$$-$$$,"4,5",414,NaN,Bar,"Islands Brygge 1 B, st, København 2300 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, Ølpub, Bar, Pub</div>"
