,Unnamed: 0,Location,Ranking on list,Price class numeric,Restaurant,Postal code,Pizza,Sushi,Fisk og skaldyr,Thai,Café,Italiensk,Indisk,Mexicansk,Steakhouse,City Area
146,146,"55.77464,12.57555",2013.0,2,Restaurant Laura,,0,0,0,0,0,0,0,0,0,andet
147,147,"55.673065,12.558967",2012.0,2,Canton Restaurant,1620,0,0,0,0,0,0,0,0,0,kbh v
148,148,"55.67834,12.56556",2009.0,99,Mamma's,1550,0,0,0,0,0,0,0,0,0,kbh v
149,149,"55.66647,12.57651",2008.0,99,Nubilo Pizza,2300,0,0,0,0,0,0,0,0,0,kbh s
150,150,"55.67427,12.56209",2006.0,1,Jin Cheng,1606,0,0,0,0,0,0,0,0,0,kbh v
151,151,"55.70077,12.579738",2005.0,99,Rosetta Delikatesser,2100,0,0,0,0,0,0,0,0,0,kbh ø
152,152,"55.68178,12.57459",2004.0,99,Kebaben,1150,0,0,0,0,0,0,0,0,0,kbh k
153,153,"55.67906,12.59222",2003.0,99,Hansens Is Kaffe,,0,0,0,0,0,0,0,0,0,andet
154,154,"55.66273,12.56147",2002.0,99,Pizza House,1561,1,0,0,0,0,0,0,0,0,kbh v
155,155,"55.70891,12.55807",2000.0,99,Sicilia Pizzeria,,1,0,0,0,0,0,0,0,0,andet
156,156,"55.70404,12.58799",1998.0,99,Strand Pizza,2100,0,0,0,0,0,0,0,0,0,kbh ø
157,157,"55.679314,12.57634",1998.0,2,Dorfs Gastrobar,1151,0,0,0,0,0,0,0,0,0,kbh k
158,158,"55.66273,12.56147",1996.0,2,LETZ SUSHI FISKETORVET,1561,0,1,0,0,0,0,0,0,0,kbh v
159,159,"55.67223,12.58871",1995.0,2,Restaurant Eldorado,1408,0,0,0,0,0,0,0,0,0,kbh k
160,160,"55.67659,12.571",1994.0,99,Cafe Restaurant Bar Hollywood,1460,0,0,0,0,0,0,0,0,0,kbh k
161,161,"55.67182,12.59289",1993.0,99,Ishuset,1400,0,0,0,0,0,0,0,0,0,kbh k
162,162,"55.6514,12.5022",1992.0,99,Thali,,0,0,0,0,0,0,0,0,0,andet
163,163,"55.67207,12.54807",1992.0,1,Burger Palace,1620,1,0,0,0,0,0,0,0,0,kbh v
164,164,"55.63813,12.63457",1990.0,2,YoSushi,,0,1,0,0,0,0,0,0,0,andet
165,165,"55.68223,12.58476",1988.0,2,Philly's Danmark,1123,0,0,0,0,0,0,0,0,0,kbh k
166,166,"55.687954,12.554159",1988.0,2,Café Bambú,2200,0,0,0,0,1,0,0,0,0,kbh n
167,167,"55.69235,12.48554",1986.0,2,Indian Flavours,2720,0,0,0,0,0,0,1,0,0,andet
168,168,"55.69968,12.54125",1983.0,99,Um Hanza,2200,0,0,0,0,0,0,0,0,0,kbh n
169,169,"55.666443,12.558057",1983.0,99,Kødbyens Rosébar,,0,0,0,0,0,0,0,0,0,andet
170,170,"55.67131,12.55837",1981.0,99,ArkArd,,0,0,0,1,0,0,0,0,0,andet
171,171,"55.668076,12.578073",1980.0,2,Hiko Pizza,2300,1,0,0,0,0,0,0,0,0,kbh s
172,172,"55.64835,12.52686",1979.0,99,Stubben Cafe & Bar,2450,0,0,0,0,0,0,0,0,0,kbh sv
173,173,"55.67642,12.56901",1978.0,99,Restaurant Fodkold,,0,0,0,0,0,0,0,0,0,andet
174,174,"55.66902,12.54144",1977.0,2,hotel Amerika,9500,0,0,0,0,0,0,0,0,0,andet
175,175,"55.66404,12.53607",1976.0,99,Carl's Madhus,1799,0,0,0,0,0,0,0,0,0,kbh v
176,176,"55.70062,12.46839",1975.0,99,Roma Pizzeria & Grill,2760,0,0,0,0,0,0,0,0,0,andet
177,177,"55.67502,12.580593",1974.0,99,Cafe Globetrotter,,0,0,0,0,0,0,0,0,0,andet
178,178,"55.68045,12.578099",1973.0,99,Arket,,0,0,0,0,0,0,0,0,0,andet
179,179,"55.68176,12.58458",1972.0,99,The Mexican Donkey,1123,0,0,0,0,0,0,0,1,0,kbh k
180,180,"55.71234,12.57653",1971.0,99,Cafe Temptation,2100,0,0,0,0,0,0,0,0,0,kbh ø
